match_id,season_id,balls_per_over,city,match_date,event_name,match_number,gender,match_type,format,overs,season,team_type,venue,toss_winner,team1,team2,toss_decision,match_winner,,,,result
335982,2008,6,Bangalore,18-04-2008,Indian Premier League,1,male,T20,T20,20,2008,club,M Chinnaswamy Stadium,Royal Challengers Bengaluru,1,6,field,Kolkata Knight riders,,,,win
1082591,2017,6,Hyderabad,05-04-2017,Indian Premier League,1,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bengaluru,2,1,field,Sun risers Hyderabad,,,,win
1082592,2017,6,Pune,06-04-2017,Indian Premier League,2,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,4,3,field,Rising Pune Supergiants,,,,win
1082593,2017,6,Rajkot,07-04-2017,Indian Premier League,3,male,T20,T20,20,2017,club,Saurashtra Cricket Association Stadium,Kolkata Knight riders,5,6,field,Kolkata Knight riders,,,,win
1082594,2017,6,Indore,08-04-2017,Indian Premier League,4,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Punjab Kings,494,4,field,Punjab Kings,,,,win
1082595,2017,6,Bengaluru,08-04-2017,Indian Premier League,5,male,T20,T20,20,2017,club,M.Chinnaswamy Stadium,Royal Challengers Bengaluru,1,252,bat,Royal Challengers Bengaluru,,,,win
1082596,2017,6,Hyderabad,09-04-2017,Indian Premier League,6,male,T20,T20,20,2017,club,"Rajiv Gandhi International Stadium, Uppal",Sun risers Hyderabad,2,5,field,Sun risers Hyderabad,,,,win
1082597,2017,6,Mumbai,09-04-2017,Indian Premier League,7,male,T20,T20,20,2017,club,Wankhede Stadium,Mumbai Indians,3,6,field,Mumbai Indians,,,,win
1082598,2017,6,Indore,10-04-2017,Indian Premier League,8,male,T20,T20,20,2017,club,Holkar Cricket Stadium,Royal Challengers Bengaluru,494,1,bat,Punjab Kings,,,,win
1082599,2017,6,Pune,11-04-2017,Indian Premier League,9,male,T20,T20,20,2017,club,Maharashtra Cricket Association Stadium,Rising Pune Supergiants,4,252,field,Delhi Capitals,,,,win
1082600,2017,6,Mumbai,12-04-2017,Indian Premier League,10,male,T20,T20,20,2017,club,Wankhede Stadium,Mumbai Indians,3,2,field,Mumbai Indians,,,,win
